#{"t_start": 1748362284.051907, "env_id": "None"}
r,l,t
78.0,38,0.722374
96.0,41,0.761972
90.0,40,0.779371
78.0,38,0.794605
90.0,40,0.811186
90.0,40,0.827851
78.0,38,0.843033
90.0,40,0.860191
78.0,38,0.875338
72.0,37,0.889477
90.0,40,0.997335
90.0,40,1.014282
78.0,38,1.029755
84.0,39,1.045354
264.0,69,1.087383
90.0,40,1.103673
90.0,40,1.120148
84.0,39,1.136124
84.0,39,1.152093
102.0,42,1.1706
78.0,38,1.185208
90.0,40,1.202347
84.0,39,1.217927
78.0,38,1.23281
78.0,38,1.247524
102.0,42,1.266475
78.0,38,1.280979
84.0,39,1.296887
270.0,70,1.339544
96.0,41,1.357776
294.0,74,1.404257
78.0,38,1.419421
192.0,57,1.451569
102.0,42,1.471353
78.0,38,1.487712
90.0,40,1.504817
84.0,39,1.52098
78.0,38,1.536879
78.0,38,1.552702
90.0,40,1.569833
114.0,44,1.590525
84.0,39,1.606491
78.0,38,1.621168
108.0,43,1.640516
90.0,40,1.657526
90.0,40,1.674121
90.0,40,1.690669
234.0,64,1.728479
288.0,73,1.774313
78.0,38,1.789021
